path,sentence
common_voice_ur_31930394.mp3,ان کے پاس زیادہ سے زیادہ زمین آجائے
common_voice_ur_31813353.mp3,بہت سارے سوالات کے جوابات جانتا ہوں
common_voice_ur_31950914.mp3,کاش ہم لوگ ذاتی طور پر صرف اپنے لیے ہی سوچتے ہیں
common_voice_ur_31990388.mp3,لیکن آپ نے کبھی اس بات پر غور کیا ہے
common_voice_ur_31950891.mp3,نبی صلی اللہ علیہ وسلم نے ان دونوں کو کہا
common_voice_ur_31950711.mp3,چیزوں کا تصور کرنے میں مشکل پیش آتی ہے
common_voice_ur_32022509.mp3,جن لوگوں اور خاص طور پر جن خاتون نے گوادر کو پاکستان میں شامل کرنے کے لیے
common_voice_ur_31858143.mp3,مقامی تنظیم دہائی دے رہی ہے کہ اب لوگ نہیں آتے
common_voice_ur_31813351.mp3,اس لیے مسترد نہیں کرتی کہ وہ پرانی ہے
common_voice_ur_31950834.mp3,جب پاکستان آتے ہیں تو پاکستانی پاسپورٹ نکال لیتے ہیں
common_voice_ur_32002436.mp3,کیا شریف خاندان کو ان کے سوالات کے جواب ملیں گے؟
common_voice_ur_31983342.mp3,پہلے اللہ سے اپنے گناہوں کی معافی مانگو پھر کسی اور کو تلقین کرنا
common_voice_ur_31882211.mp3,وہاں کچھ مزدور ابھی تک موجود ہوتے
common_voice_ur_31826811.mp3,اب تم تو سب کے بارے میں میری رائے جان چکے ہو
common_voice_ur_31971127.mp3,جس میں پاکستانی اردو والا شناختی کارڈ ہوتا ہے
common_voice_ur_31820328.mp3,دوسروں کے بارے میں فکر مند رہتا ہوں
common_voice_ur_31999987.mp3,اسے پڑھ کر میری وہ رائے بنی جس کا
common_voice_ur_31931771.mp3,گرمی میں کچن میں کام کرنا بہت مشکل ہے
common_voice_ur_31983093.mp3,تو صحافت اور سلامتی کے تعلق پر کیوں نہیں ہو سکتی؟
common_voice_ur_31824015.mp3,موسم میں تبدیلی کا ساتھ ہی پرندہ نقل مکانی کرنا شروع کرنا ہونا
common_voice_ur_31936166.mp3,ایک بہادر جرنیل دوسرے کی قدر جانتا ہے
common_voice_ur_31983235.mp3,کیا آپ علی کو اچھا آدمی سمجھتے ہیں؟
common_voice_ur_31802301.mp3,یہاں یہ بات واضح رہے کہ اللہ تعالیٰ کی طرف سے انسانوں کی رہنمائی
common_voice_ur_31954051.mp3,بنگلہ دیش کی عدالت کا تاریخی فیصلہ
common_voice_ur_32059894.mp3,پیچیدہ مسائل کو حل کرنا پسند کرتا ہوں
common_voice_ur_32036927.mp3,دوسرے اس موقع پر جب کوئی عالمِ دین
common_voice_ur_31998827.mp3,یہ طاقتیں خیر اور شر کی طاقتیں ہیں
common_voice_ur_31972144.mp3,یہ ضروری معلوم ہوتا ہے کہ مختصر طور پر
common_voice_ur_32050992.mp3,اس لیے مسترد نہیں کرتی کہ وہ پرانی ہے
common_voice_ur_35149952.mp3,میں اس کا بندہ بنوں گا جس کو خدا کے بندوں سے پیار ہوگا
common_voice_ur_31930927.mp3,جب دوستوں سے بات کی تو اچھا جواب ملا
common_voice_ur_32030761.mp3,اور مداخلت کو مختلف مقامات پر بیان کیا گیا ہے
common_voice_ur_31960547.mp3,دوسرے الفاظ میں، وہ ریاست کے اندر اپنی ایک الگ ریاست بنانے کا اعلان کر رہا ہوتا ہے
common_voice_ur_32005700.mp3,مقامی تنظیم دہائی دے رہی ہے کہ اب لوگ نہیں آتے
common_voice_ur_31972247.mp3,یہ ماضی میں خلافت عباسیہ کا مرکز تھا
common_voice_ur_31972254.mp3,قرآن پاک مسلمانوں کی مقدس کتاب ہے
common_voice_ur_35150045.mp3,جو لوگ درد کو سمجھتے ہیں وہ کبھی بھی درد کی وجہ نہیں بنتے
common_voice_ur_31892075.mp3,کیا میں آپ کے ساتھ چند قدم چل سکتا ہوں؟
common_voice_ur_32009430.mp3,میں نے یہ نہیں کہا کہ مجھے تم پر یقین نہیں
common_voice_ur_31928075.mp3,بلکہ کپتان بدلنے کے بجائے نظام تبدیل کرنے کی ضرورت
common_voice_ur_31890994.mp3,اس کے بعد ہی اسے جائز کہا جا سکتا ہے
common_voice_ur_31814166.mp3,ممالک کی تاریخ کے بارے میں بتایا ہے
common_voice_ur_32025843.mp3,امت کی تاریخ میں ایک عظیم فیصلہ ہے
common_voice_ur_31890708.mp3,دوسروں کے مسائل میں دلچسپی نہیں لیتا
common_voice_ur_31973225.mp3,آپ کو اپنا مسئلہ خود حل کرنا پڑے گا
common_voice_ur_31969567.mp3,اسرائیل مغربی ایشیا کا ایک ملک ہے
common_voice_ur_32040169.mp3,جانتا ہوں کہ چیزوں کو کیسے کرنا ہے
common_voice_ur_31846308.mp3,یوں بیان کیا تھا کہ تلوار طاقت کی
common_voice_ur_32000151.mp3,پاکستانی عوام کو سوشل میڈیا حاصل ہے
common_voice_ur_31978814.mp3,کیا میں آپ کے ساتھ چند قدم چل سکتا ہوں؟
common_voice_ur_32000109.mp3,اس لیے مسترد نہیں کرتی کہ وہ پرانی ہے
common_voice_ur_31847769.mp3,سلمان خان کی نظر میں اکشے کمار اصل سلطان
common_voice_ur_31824289.mp3,میں ان کو دیکھتا اور کچھ سوچے بغیر
common_voice_ur_32054926.mp3,مجھے گانوں کی سمجھ نہیں تھی لیکن وہ بہترین تھے
common_voice_ur_32000181.mp3,میں نے اسے گھر سے نکلتے دیکھا تھا
common_voice_ur_31837052.mp3,رحمی بھی اپنے انتہا کو پہنچ جاتی ہے
common_voice_ur_31830141.mp3,سفر کا پورا حصہ بننے سے رہ گئی ہے
common_voice_ur_31973471.mp3,سمارٹ فون آج کل ہر بندے کی ضرورت ہے
common_voice_ur_32014006.mp3,کہ میرے جن کو مسلمان کر دیا گیا ہے
common_voice_ur_31809750.mp3,میں نے اسے گھر سے نکلتے دیکھا تھا
common_voice_ur_31968458.mp3,دوسروں کی ضروریات کا اندازہ لگا لیتا ہوں
common_voice_ur_31972919.mp3,دوسروں کے بارے میں فکر مند رہتا ہوں
common_voice_ur_32009444.mp3,کیا روشن ہو جاتی تھی گلی جب یار ہمارا گزرے تھا
common_voice_ur_31990477.mp3,ملک میں سونے کی قیمت تیزی سے بڑھنے لگی
common_voice_ur_32009454.mp3,ہم کچھ نہیں کہہ سکتے دوسری طرف آج
common_voice_ur_31976270.mp3,والد کا انتقال ہو گیا تو میں نے فیصلہ کیا
common_voice_ur_31837306.mp3,ہم چار لوگ گاؤں کے باہر سیر کرنے نکل گئے
common_voice_ur_32049516.mp3,اور خوش اخلاق انسان ہیں اللہ آپ کو سلامت رکھے
common_voice_ur_32037218.mp3,ہماری ضرورت پوری کرنے کو کافی تھا
common_voice_ur_31847361.mp3,اس سے پہلے اس کی حیثیت محض ایک رائے کی ہوگی
common_voice_ur_35150494.mp3,آج کل کسی کو بھی لفٹ نہیں دی جاتی ہے
common_voice_ur_31970793.mp3,جو میں کرتا ہوں اس میں دوسروں کو بھی شامل کرتا ہوں
common_voice_ur_31824230.mp3,انہوں نے اضافہ کرنا کہ چھٹی کا سیزن میں کنسول پوری دنیا کا ممالک میں دستیاب ہونا گانا
common_voice_ur_31949024.mp3,یہ شہر اداس اتنا زیادہ تو نہیں تھا
common_voice_ur_32000076.mp3,مجھے جتنا معلوم تھا وہ میں نے ان کو
common_voice_ur_31975124.mp3,کہ نبی صلی اللہ علیہ وسلم کا یہ ارشاد اپنے ایک عمل کی دلیل کے طور پر تھا
common_voice_ur_31977775.mp3,زندگی سے کیسے بے نیاز ہو سکتا ہے؟
common_voice_ur_31978307.mp3,اس کے بعد اور آرزو کیا رہ جاتی ہے؟
common_voice_ur_31892313.mp3,یہ کوئی نسلی یا لسانی فوج نہیں ہے۔
common_voice_ur_31802324.mp3,اللہ کے ولی تمام رات عبادت میں گزار دیتے تھے
common_voice_ur_31802330.mp3,آپ حکم دیں اور پھر دیکھیں کہ کس طرح فاتح کشمیر کا
common_voice_ur_31816379.mp3,مجھے لگتا ہے بات نہیں کرنا چاہتے آپ
common_voice_ur_31970857.mp3,سہا تو کیا نہ سہا اور کیا تو کیا نہ کیا
common_voice_ur_32051256.mp3,یہ صحیح ہے کہ یہ شیطانی قوتوں کی شیطانی ہے
common_voice_ur_33936831.mp3,کہتے ہو نہ دیں گے ہم دل اگر پڑا پایا
common_voice_ur_31996623.mp3,اتنی اخلاقی جرات ہوتی تو یہ کہانیاں
common_voice_ur_31888661.mp3,اللہ پاک ایسا برا وقت کسی دشمن کو بھی نہ دکھائے
common_voice_ur_31888590.mp3,ان جگہوں کے اندر پہنچنے والی سورج کی روشنی
common_voice_ur_31929749.mp3,آپ نے امتحان کی تیاری مکمل کر لی ہے
common_voice_ur_32015303.mp3,تم مجھے اس طرح حکم دینے والے کون ہوتے ہو؟
common_voice_ur_33936669.mp3,کی چھت پر گھاس کے ساتھ ساتھ مختلف پودے بھی
common_voice_ur_31816336.mp3,اختلاف رائے رکھنے والا غدار شمار ہوتا اور ریاست کے
common_voice_ur_31816303.mp3,ان کی تحریر کا حصہ بنتے چلے جاتے ہیں
common_voice_ur_32019491.mp3,مانتے ہیں کہ ہر اچھائی خدا کی طرف سے ہے
common_voice_ur_31844599.mp3,تو دوسروں کے قبضے کی کیا بات کرنی؟
common_voice_ur_31889825.mp3,جتنا ضروری ہو بس اتنا کام کرتا ہوں
common_voice_ur_31975861.mp3,جو کامیاب رہا اقتدار کے ایک سال میں
common_voice_ur_31952962.mp3,میں نے سکول اور اس کی تاریخ سے محبت کی
common_voice_ur_31888876.mp3,سنگاپور کے پاس بھی زمین کی کمی ہے۔
common_voice_ur_32015382.mp3,سوال یہ ہے کہ ان کی رائے میں یہ تبدیلی کیوں آئی؟
